ablation,setting,completion_mae,failure_auc,conformal_coverage
rank,2,0.0568,0.7432,0.8833
rank,3,0.0536,0.6307,0.8994
rank,4,0.0525,0.5578,0.9047
rank,5,0.0509,0.7594,0.8961
rank,6,0.0514,0.8211,0.9160
rank,7,0.0522,0.8381,0.9020
ensemble_size,1,0.0536,0.6307,0.8994
ensemble_size,3,0.0536,0.6307,0.8994
ensemble_size,5,0.0536,0.6307,0.8994
ensemble_size,7,0.0536,0.6307,0.8994
observed_fraction,0.1,0.0762,0.8481,0.8792
observed_fraction,0.2,0.0642,0.8552,0.8796
observed_fraction,0.3,0.0574,0.7259,0.8903
observed_fraction,0.4,0.0558,0.7157,0.9056
observed_fraction,0.5,0.0536,0.6307,0.8994
observed_fraction,0.6,0.0541,0.6884,0.8973
observed_fraction,0.7,0.0528,0.6909,0.9087
observed_fraction,0.8,0.0533,0.5573,0.9030
observed_fraction,0.9,0.0543,0.4044,0.8956
feature_subset,all_features,0.0536,0.6307,0.8994
feature_subset,geometry_only,0.0536,0.4329,0.8994
feature_subset,all_minus_geometry,0.0536,0.6411,0.8994
