seed,episode_index,risk_probability,hidden_mae,failure_label
0,0,0.063521,0.038567,0
0,1,0.189106,0.087762,0
0,2,0.057339,0.048903,0
0,6,0.058355,0.006835,0
0,7,0.507052,0.055243,0
0,8,0.184636,0.035252,0
0,9,0.268238,0.172298,1
0,10,1.000000,0.164998,1
0,11,1.000000,0.164998,1
0,18,0.065423,0.089354,0
0,19,0.321969,0.102899,0
0,20,0.184252,0.080381,0
0,21,0.045336,0.021700,0
0,22,0.588592,0.031748,0
0,23,0.062349,0.018456,0
0,27,0.059780,0.027720,0
0,28,0.116983,0.093612,0
0,29,0.062608,0.016360,0
0,30,0.096269,0.065494,0
0,31,0.054700,0.193357,1
0,32,0.999999,0.166001,1
0,39,0.041700,0.087986,0
0,40,0.059269,0.087680,0
0,41,0.142444,0.117708,1
0,42,0.202129,0.236045,1
0,43,0.112463,0.113663,1
0,44,0.151770,0.283087,1
1,0,0.126603,0.045860,0
1,1,0.135059,0.090921,1
1,2,0.116568,0.095950,1
1,3,0.280987,0.041472,0
1,4,0.291040,0.044277,0
1,5,0.240137,0.134867,1
1,9,0.183104,0.114673,1
1,10,0.183040,0.165107,1
1,11,0.133271,0.023788,0
1,12,0.189532,0.017025,0
1,13,0.202972,0.007592,0
1,14,0.189532,0.017025,0
1,18,0.132362,0.055544,0
1,19,0.208034,0.099380,1
1,20,0.112375,0.041328,0
1,21,0.239694,0.070808,1
1,22,0.199903,0.014567,0
1,23,0.187348,0.010210,0
1,24,0.104308,0.040726,0
1,25,0.266339,0.043769,0
1,26,0.146928,0.093483,1
1,27,0.239414,0.064381,0
1,28,0.192582,0.053659,0
1,29,0.173034,0.051697,0
1,30,0.403438,0.040093,0
1,31,0.308963,0.031009,0
1,32,0.342210,0.031986,0
1,33,0.180198,0.040101,0
1,34,0.180333,0.025661,0
1,35,0.137616,0.036198,0
1,39,0.307927,0.040954,0
1,40,0.226209,0.048396,0
1,41,0.239061,0.069573,0
1,42,0.174580,0.099415,1
1,43,0.156729,0.031340,0
1,44,0.132963,0.048477,0
2,0,0.220505,0.013396,0
2,1,0.226054,0.049938,0
2,2,0.055300,0.031094,0
2,9,0.224439,0.108823,1
2,10,0.272153,0.041708,0
2,11,0.250519,0.041347,0
2,15,0.296932,0.097863,0
2,16,0.223849,0.264398,1
2,17,0.296932,0.097863,0
2,18,0.095849,0.111067,1
2,19,0.102748,0.113620,1
2,20,0.067947,0.170695,1
2,21,0.195825,0.037327,0
2,22,0.230151,0.026670,0
2,23,0.172999,0.025954,0
2,24,0.197348,0.058933,0
2,25,0.195321,0.067020,0
2,26,0.182254,0.071799,0
2,27,0.082351,0.133668,1
2,28,0.084776,0.204868,1
2,29,0.081404,0.150677,1
2,36,0.081641,0.031170,0
2,37,0.084015,0.030584,0
2,38,0.080264,0.021923,0
2,42,0.245698,0.039200,0
2,43,0.317450,0.040293,0
2,44,0.146912,0.112062,1
3,0,0.192816,0.046593,0
3,1,0.179947,0.124794,0
3,2,0.129725,0.144170,1
3,3,0.590878,0.141414,1
3,4,0.234417,0.147375,1
3,5,0.241631,0.107431,0
3,6,0.090305,0.017375,0
3,7,0.058659,0.012627,0
3,8,0.058659,0.012627,0
3,9,0.193573,0.031770,0
3,10,0.232343,0.028324,0
3,11,0.117291,0.056512,0
3,12,0.083497,0.055155,0
3,13,0.087100,0.099641,0
3,14,0.152906,0.112292,0
3,15,0.071704,0.047872,0
3,16,0.076888,0.169722,1
3,17,0.039625,0.051453,0
3,18,0.142153,0.042964,0
3,19,0.142153,0.042964,0
3,20,0.087378,0.044039,0
3,21,0.186811,0.055582,0
3,22,0.186811,0.055582,0
3,23,0.276164,0.060277,0
3,24,0.161121,0.032479,0
3,25,0.159034,0.013475,0
3,26,0.306853,0.040683,0
3,27,0.295705,0.183648,1
3,28,0.295705,0.183648,1
3,29,0.169592,0.167102,1
3,30,0.120731,0.113397,0
3,31,0.150195,0.034334,0
3,32,0.250753,0.035716,0
3,33,0.103186,0.040534,0
3,34,0.133194,0.069805,0
3,35,0.162759,0.028835,0
3,36,0.995543,0.068239,0
3,37,0.626154,0.127947,0
3,38,0.116756,0.065929,0
3,39,0.114821,0.065854,0
3,40,0.168376,0.160161,1
3,41,0.139214,0.107234,0
3,42,0.065203,0.059083,0
3,43,0.073450,0.028029,0
3,44,0.373617,0.235060,1
4,0,0.082579,0.041273,0
4,1,0.097858,0.070421,0
4,2,0.101516,0.110511,1
4,3,0.141176,0.096700,0
4,4,0.077902,0.018373,0
4,5,0.439900,0.066967,0
4,9,0.086199,0.139639,1
4,10,0.140315,0.063405,0
4,11,0.122745,0.215327,1
4,15,0.141659,0.029376,0
4,16,0.084858,0.104297,1
4,17,0.166779,0.036278,0
4,18,0.170578,0.052860,0
4,19,0.123506,0.049680,0
4,20,0.096501,0.041858,0
4,24,0.164633,0.210826,1
4,25,0.997617,0.188420,1
4,26,0.385552,0.062528,0
4,27,0.164077,0.030498,0
4,28,0.149201,0.052773,0
4,29,0.091217,0.052343,0
4,33,0.048030,0.083017,0
4,34,0.061896,0.072926,0
4,35,0.472969,0.183551,1
4,42,0.091696,0.059331,0
4,43,0.159450,0.139508,1
4,44,0.767107,0.099252,1
