seed,risk_threshold,episodes_accepted,benchmarks_avoided_fraction,accepted_mae,accepted_failure_rate
0,0.20,0.422222,0.401361,0.079678,0.210526
0,0.30,0.466667,0.442177,0.091534,0.285714
0,0.35,0.488889,0.462585,0.092051,0.272727
0,0.40,0.488889,0.462585,0.092051,0.272727
0,0.50,0.488889,0.462585,0.092051,0.272727
1,0.20,0.488889,0.506410,0.055125,0.272727
1,0.30,0.711111,0.724359,0.057415,0.281250
1,0.35,0.777778,0.801282,0.055463,0.257143
1,0.40,0.777778,0.801282,0.055463,0.257143
1,0.50,0.800000,0.826923,0.055036,0.250000
2,0.20,0.355556,0.346154,0.085779,0.437500
2,0.30,0.577778,0.557692,0.082833,0.346154
2,0.35,0.600000,0.576923,0.081258,0.333333
2,0.40,0.600000,0.576923,0.081258,0.333333
2,0.50,0.600000,0.576923,0.081258,0.333333
3,0.20,0.733333,0.720000,0.066969,0.121212
3,0.30,0.888889,0.880000,0.073910,0.175000
3,0.35,0.911111,0.900000,0.073100,0.170732
3,0.40,0.933333,0.920000,0.076956,0.190476
3,0.50,0.933333,0.920000,0.076956,0.190476
4,0.20,0.488889,0.505952,0.080510,0.272727
4,0.30,0.488889,0.505952,0.080510,0.272727
4,0.35,0.488889,0.505952,0.080510,0.272727
4,0.40,0.511111,0.523810,0.079728,0.260870
4,0.50,0.555556,0.565476,0.083371,0.280000
